01029901,-23.5427230,-46.6332583
01227200,-23.5475983,-46.6587135
01251000,-23.5443440,-46.6733857
01255010,-23.5474499,-46.6817876
01308040,-23.5279687,-46.3963275
01311914,-23.5668075,-46.6506635
01332906,-23.5612732,-46.6528098
01416902,-23.5594957,-46.6670544
01426040,-23.5681711,-46.6636719
01501001,-23.5520321,-46.6342435
01543000,-23.5751117,-46.6230726
01546120,-23.5748054,-46.6226952
02072001,-23.5006657,-46.6046560
02084150,-23.4948976,-46.5995672
02119020,-23.5133951,-46.5928896
02123005,-23.5140619,-46.5808665
02131040,-23.5042516,-46.5817681
02138000,-23.4891721,-46.5744147
02140030,-23.4882706,-46.5721108
02147015,-23.4994499,-46.5651200
02190080,-23.5091613,-46.5631782
02201020,-23.4854880,-46.5916258
02207080,-23.4860622,-46.5868010
02209150,-23.4857663,-46.5816901
02216060,-23.4944860,-46.5797305
02217020,-23.4896048,-46.5811344
02221140,-23.4856877,-46.5785867
02224010,-23.4841070,-46.5757120
02227310,-23.4814418,-46.5716156
02248001,-23.4856596,-46.5996827
02280105,-23.4554385,-46.5759692
02320160,-23.4475710,-46.5944838
02354240,-23.4547088,-46.6063055
02357100,-23.4472085,-46.6121924
02360281,-23.8045047,-46.7649928
02371020,-23.4591923,-46.6174451
02375170,-23.4486098,-46.6228408
02408000,-23.4835584,-46.6272019
02417122,-23.4783855,-46.6299520
02420030,-23.4755639,-46.6357363
02435010,-23.4799073,-46.6389057
02441070,-23.4743954,-46.6414732
02467103,-23.4905409,-46.6480835
02468075,-23.4876843,-46.6477278
02472050,-23.4756927,-46.6581515
02514050,-23.5073840,-46.6539288
02516040,-23.5093404,-46.6607743
02545120,-23.4841773,-46.6660594
02551110,-23.5042282,-46.6709961
02672010,-23.4646316,-46.6662700
02757100,-23.4851495,-46.6853461
02759040,-23.4833610,-46.6801107
02765080,-23.4764343,-46.6719661
02831040,-23.4694787,-46.6941874
02832210,-23.4826988,-46.6933417
02871040,-23.4610043,-46.6741496
02873011,-23.7374379,-46.5926223
02882140,-23.4695119,-46.6685412
02916010,-23.4901193,-46.7173721
02932010,-23.4949046,-46.7096497
02966000,-23.4706896,-46.7104750
02968010,-23.4851073,-46.7107884
02990325,-23.5505199,-46.6333094
02994060,-23.4557721,-46.7374498
02997001,-23.4326058,-46.7105010
03124070,-23.5725819,-46.5910360
03152030,-23.5898669,-46.5848600
03164120,-23.5509696,-46.6070667
03165901,-23.5607026,-46.5853743
03169901,-23.5527868,-46.5968176
03192010,-23.5707979,-46.5799975
03223000,-23.5885570,-46.5622947
03251090,-23.6081068,-46.5365939
03254210,-23.6122748,-46.5323063
03265140,-23.5954347,-46.5401180
